0.375,3,0.929484,0.948221,0.76426,0.65655,0.218538
0.5625,3,0.913218,0.935534,0.342104,0.659942,0.217614
0.75,3.1,0.954366,0.952937,0.914636,0.669382,0.213919
0.1875,3.2,0.942761,0.914865,0.767554,0.66724,0.212131
0.9375,3.3,0.947472,0.964529,0.754984,0.675429,0.210726
1.3125,3.3,0.952282,0.950392,0.744928,0.675609,0.208288
1.125,3.5,0.942398,0.965785,0.946734,0.672515,0.21113
1.5,3.7,0.939463,0.964687,0.643701,0.695911,0.157614
1.875,2.6,0.927043,0.929572,0.792812,0.788153,0.00462717
2.25,2.3,0.923589,0.943791,0.845272,0.846747,0.00396849
2.0625,2.5,0.942901,0.930625,0.868954,0.863866,0.00503046
1.6875,3.3,0.947074,0.955215,0.73482,0.729344,0.00512562
2.625,1.8,0.925796,0.933312,0.875802,0.874897,0.00393381
2.4375,2.2,0.93466,0.920504,0.865858,0.868976,0.00249949
3,1.8,0.922303,0.955384,0.896321,0.89169,0.00489572
2.8125,2,0.922041,0.944705,0.895981,0.892122,0.00312492
